,OR,log_OR,p-value,2.5%,97.5%
Slope_Theta_channel62,1.1178682873216752,0.11142355681024718,0.8677766772081391,0.3010926903342064,4.150314995732488
Slope_Alpha_channel110,1.1055737022641372,0.10036438780783692,0.818065936633541,0.4701161803255645,2.599981158469317
Slope_Theta_channel16,1.1013980081653256,0.09658028938748658,0.8948987721307022,0.2628187483428777,4.615643214341563
Slope_Theta_channel32,1.1003558896327603,0.09563366350761168,0.8900425107965094,0.2836096770376652,4.269188190248894
Slope_Alpha_channel8,1.0994830713382797,0.09484013420317962,0.8746393986950808,0.33845501581971943,3.5717095851915714
Slope_Alpha_channel39,1.0869849093605606,0.08340772520973394,0.873114587535835,0.39054402427509716,3.0253598051351007
Slope_Theta_channel37,1.0860022202061312,0.08250326589835669,0.9160251012020316,0.23431850336314847,5.033323469400973
Slope_Theta_channel36,1.08439847302298,0.08102543051060013,0.9250274092365935,0.20057592835269014,5.862717714694299
Slope_Alpha_channel107,1.0826725683677239,0.07943258469502741,0.8510172612784183,0.47261697955844756,2.4801899656484996
Slope_Alpha_channel25,1.0808283134588021,0.07772770408127266,0.8516247071955401,0.47867000105761076,2.440491028460336
Slope_Theta_channel81,1.0802508787166627,0.07719330926781835,0.9257044045405498,0.21325363989024548,5.472084610460614
Slope_Theta_channel58,1.0784721562749104,0.0755453694298115,0.9188038953935176,0.25235177929301605,4.609050885707167
Slope_Beta_channel15,1.0734763650289456,0.07090232135370786,0.9252018327214442,0.2443151098018194,4.716660820571061
Slope_Beta_channel30,1.068510217820411,0.06626535850196547,0.9281728870291057,0.2529616993667493,4.513387158786202
Slope_Beta_channel57,1.0656905371692589,0.06362298075452873,0.9073243401141331,0.3651152833221958,3.1105143303735905
Slope_Theta_channel35,1.0651524846794842,0.06311796701518413,0.9315450953055316,0.25233051473425455,4.4962846321371215
Slope_Alpha_channel17,1.0625665648913476,0.06068726916355241,0.875634443706663,0.49692497422587745,2.272068749581077
Slope_Beta_channel74,1.0540189824537727,0.0526104598751843,0.9486765762122251,0.21239145178603894,5.2307002284256345
Slope_Beta_channel45,1.0499403531782914,0.0487333560590164,0.9589122339110903,0.16443051358971486,6.70419815134062
Slope_Theta_channel18,1.0484429455565618,0.0473061545779473,0.9426238891303278,0.2891114463376124,3.802106848456223
Slope_Beta_channel76,1.046940371164985,0.04587197817963877,0.9546226961124777,0.21563930867103998,5.082951468960442
Slope_Alpha_channel48,1.0447898791696502,0.043815792634047765,0.9212478611200181,0.43830356868647197,2.490479132731331
Slope_Beta_channel114,1.042771385080967,0.04188196223366949,0.9607856332618203,0.19639034191464294,5.536790409053222
Slope_Beta_channel55,1.0427318674106223,0.041844064742690104,0.9455826002137148,0.313573801599289,3.4674125892158356
Slope_Alpha_channel35,1.0390083850257452,0.038266782369169944,0.935184244688233,0.4131319643500769,2.6130595483021875
Slope_Theta_channel60,1.0385307350592428,0.03780695952366899,0.9600801542870163,0.2363056004832343,4.564200279033223
Slope_Theta_channel5,1.03706133556483,0.036391074619608534,0.9686744633878853,0.1686638652973652,6.376565672957511
Slope_Theta_channel15,1.0315129588448702,0.031026616557254014,0.9604628972201351,0.3024988909766933,3.51743102538144
Slope_Beta_channel31,1.0302854591150612,0.029835908615930364,0.9672694228119827,0.2477622622714171,4.284301077704479
Slope_Alpha_channel79,1.0262808825672798,0.025941473967321958,0.9537048547539233,0.42747669049047265,2.4638827644955503
Slope_Alpha_channel56,1.0245023548942245,0.02420698727321369,0.9515667873319635,0.4691115899646756,2.237431557090387
Slope_Alpha_channel12,1.0207748175499298,0.02056196397604868,0.9689699114151545,0.3622433257234987,2.8764677059624812
Slope_Alpha_channel57,1.017629482548997,0.01747588581471894,0.9689932741717281,0.42159971802905,2.4562866611822174
Slope_Beta_channel72,1.0171148025413617,0.01696999421705378,0.9837708622261429,0.19826901656175025,5.217771992259589
Slope_Alpha_channel55,1.0107604539922475,0.010702972292328142,0.982002256814765,0.3988379553626706,2.5615332784103293
Slope_Theta_channel68,1.0104221857544107,0.010368249210561125,0.9900800497948419,0.1970916381893599,5.180092888993186
Slope_Theta_channel107,1.0072350477808303,0.007209000383287588,0.9923295357542644,0.23165365926809395,4.379479455163449
Slope_Alpha_channel51,1.0069025532222167,0.006878839661926412,0.9894151290198462,0.3644442727112337,2.7819143490525966
Slope_Alpha_channel46,1.0052638927577924,0.005250086901481604,0.9921180786005283,0.3547348343085147,2.8487630656640417
Slope_Theta_channel79,1.004707275362551,0.004696230788221145,0.9943649831558439,0.2729171954568835,3.698692225957289
Slope_Beta_channel59,1.0025454941761913,0.0025422598932936333,0.9971971621537564,0.24270900460541972,4.14116266319416
Slope_Alpha_channel105,0.9983267318798451,-0.0016746695968381732,0.9966403642037488,0.45786153571208205,2.176763466352023
Slope_Theta_channel11,0.9967167691934139,-0.003288632435287168,0.9970795023019177,0.1713181270152516,5.798827802401293
Slope_Theta_channel89,0.993800181527089,-0.006219117154355155,0.9936640550712246,0.21412554123826252,4.612428741998164
Slope_Theta_channel70,0.9924278422726953,-0.007600972063585974,0.9927138407556143,0.1941796667377563,5.072173820589484
Slope_Theta_channel29,0.991880542704955,-0.00815259960874176,0.9902944524470367,0.26667529482595176,3.6892319239349876
Slope_Alpha_channel27,0.9909087046665024,-0.009132873349447013,0.9841091894003132,0.40339241495959494,2.4341064050056467
Slope_Alpha_channel61,0.9907484893844956,-0.009294571631911669,0.9806125746326937,0.4681634241021767,2.096666502941993
Slope_Alpha_channel65,0.9901459639359557,-0.009902908402315098,0.9792401341382587,0.46963600824424656,2.087550811028923
Slope_Beta_channel115,0.9882407530395092,-0.011828933753232424,0.9884377405893326,0.1995548140085425,4.893992614612089
Slope_Beta_channel116,0.9843022670331318,-0.015822247156357647,0.984563812255612,0.19816434827519205,4.889128449791148
Slope_Theta_channel19,0.9835988858005671,-0.016537101417716405,0.9794078534428542,0.28019450961098824,3.4528398486155645
Slope_Alpha_channel101,0.9813847378258151,-0.018790706878056465,0.9617137862090369,0.4556571847040846,2.113685542482812
Slope_Theta_channel22,0.9796426176464896,-0.02056744969886412,0.9763474916828029,0.2515233468533295,3.8155490148948066
Slope_Theta_channel20,0.979497134589235,-0.020715966982897575,0.975023209467575,0.26778947927060237,3.582719676970691
Slope_Theta_channel59,0.9767741759014591,-0.023499793982436276,0.9714608192754894,0.26957373588618216,3.5392460900226723
Slope_Beta_channel109,0.9711550904306566,-0.029269101065406374,0.9715395390683086,0.19452675634664257,4.84839323588328
Slope_Beta_channel95,0.9677485878584119,-0.032782948726258546,0.9670083805514582,0.2046868806269796,4.575463392833132
Slope_Theta_channel44,0.9637639728487112,-0.036908855793396644,0.9716020900139707,0.12631353702082718,7.3534556728308536
Slope_Theta_channel47,0.9634257848566576,-0.03725982070919989,0.9702852703252282,0.13564501061490256,6.842782043504754
Slope_Beta_channel89,0.9585471336720662,-0.04233654329537479,0.9574044107077284,0.2027234755650656,4.532344391343242
Slope_Alpha_channel15,0.95682589664477,-0.04413383026077137,0.921920791607684,0.3958722284232463,2.3126547677682647
Slope_Alpha_channel18,0.9560417083157977,-0.04495373893701178,0.9187261828934496,0.4031568429465757,2.267146804104996
Slope_Beta_channel90,0.9550882492901834,-0.045951535137029285,0.9478674178100593,0.24089800111831772,3.7866381609541095
Slope_Beta_channel93,0.954001061953394,-0.04709049437577616,0.954723377982831,0.187740976458769,4.847732462966498
Slope_Alpha_channel60,0.9499874792812519,-0.05130647417834889,0.898066020040819,0.4333196542291833,2.0827031545488737
Slope_Theta_channel14,0.943994150545908,-0.05763530931144045,0.9446729029184451,0.1853711122615083,4.80724825671734
Slope_Alpha_channel26,0.942893826455737,-0.058801593932791364,0.8721701785308903,0.46067263298766575,1.9298927357643694
Slope_Alpha_channel58,0.9404713430250228,-0.06137410064144978,0.8966577365368555,0.3725023659769385,2.374444910521853
Slope_Alpha_channel20,0.9368161775909557,-0.06526819785653724,0.8801345857622535,0.4010882113965186,2.1881085647977403
Slope_Theta_channel64,0.9298903292444272,-0.07268862533222574,0.9135447755848851,0.25034349435935366,3.4540383269600285
Slope_Beta_channel91,0.9275175942977089,-0.07524351508725018,0.9279953339273606,0.18137480608597337,4.743155382473707
Slope_Gamma_channel39,0.9268368940238506,-0.07597767924919428,0.9521057792728465,0.07767025065559356,11.059918319729462
Slope_Gamma_channel44,0.9243843004140504,-0.07862738426783561,0.9636313597075682,0.0314808336696129,27.1430656449474
Slope_Alpha_channel103,0.9210211384686227,-0.08227229134133072,0.835873561314121,0.4229061094193795,2.0058351454668433
Slope_Alpha_channel29,0.9171982862816463,-0.0864315964239815,0.8458490394798754,0.38374879724676164,2.19219630756794
Slope_Beta_channel9,0.9154334966348088,-0.0883575590846803,0.9022802050258063,0.223395277167589,3.7512811254839504
Slope_Theta_channel99,0.9112391760718714,-0.09294987384024359,0.9029626198867223,0.20449758856866887,4.060472506399824
Slope_Alpha_channel93,0.9104948305074896,-0.09376705747200952,0.8168121666305664,0.4118362472932449,2.012938010749157
Slope_Theta_channel42,0.908887321790855,-0.09553415091404095,0.9277858014779947,0.1151485136145365,7.174006313945751
Slope_Theta_channel21,0.9054740435702978,-0.09929666737013633,0.8941745515018732,0.209647613216205,3.9107683173765397
Slope_Gamma_channel10,0.9054128282162852,-0.09936427551837543,0.9321034743452477,0.0920702245494022,8.903773109174363
Slope_Theta_channel28,0.9052239044727716,-0.09957295762538053,0.8890565259556262,0.22344637934834158,3.6672347057880907
Slope_Theta_channel66,0.9045588623912242,-0.10030789899365794,0.8801570565444844,0.24554404890394674,3.3323012273475388
Slope_Beta_channel8,0.9034865742840689,-0.10149402873478244,0.8933976908874577,0.20475567101028413,3.9866441104362043
Slope_Theta_channel57,0.9006792368366303,-0.10460609271013964,0.8700937058898719,0.2571041554705901,3.155231334879805
Slope_Theta_channel93,0.8976310399297177,-0.10799616378474594,0.8825569524519147,0.21420607859512292,3.7615248322073147
Slope_Alpha_channel91,0.8928189433868411,-0.11337146962897722,0.7891973585021027,0.3888750288350387,2.0498247677624395
Slope_Theta_channel90,0.888221620934614,-0.11853399400359324,0.8644791069141795,0.22769934636397826,3.4648217506720167
Slope_Theta_channel8,0.8879623220776541,-0.11882596698288068,0.8830381423374011,0.1823436391108457,4.324127176984928
Slope_Beta_channel62,0.8876800782861285,-0.11914387310389342,0.8786001220862405,0.19244192078555525,4.094616797470736
Slope_Theta_channel85,0.8855781444273522,-0.12151457672314049,0.8717451880200284,0.20255494468601531,3.871782301355677
Slope_Delta_channel49,0.8815750180271598,-0.12604517806851992,0.9484123323662239,0.019364653634724102,40.13366451419413
Slope_Alpha_channel99,0.878928709071949,-0.12905148916865275,0.7670321634344566,0.3742548198696665,2.0641435583913377
Slope_Theta_channel4,0.8770824482552747,-0.13115427933519053,0.8916381303881648,0.13291177406746674,5.78785157624169
Slope_Beta_channel49,0.8747120585018034,-0.13386052277984936,0.9009069665698555,0.10636077169550254,7.193640785899031
Slope_Gamma_channel47,0.8708210909780115,-0.13831872968306597,0.9216472167295342,0.0553241791067691,13.707015354509798
Slope_Beta_channel83,0.8686137130709336,-0.14085677145027722,0.8611520403023962,0.17919964789493192,4.2103307199422915
Slope_Alpha_channel10,0.8650910511268453,-0.14492051617153384,0.8058942112551193,0.272303712772348,2.7483375790965234
Slope_Beta_channel12,0.8594758158401893,-0.15143259203015533,0.854923764764898,0.16953000660058207,4.357332916022093
Slope_Theta_channel75,0.859324945226057,-0.15160814537867282,0.8640065097338598,0.1516009241173888,4.870942349374941
Slope_Theta_channel24,0.8538449249401259,-0.15800568840359602,0.8199176824021259,0.21907121657622466,3.327918506319792
Slope_Beta_channel35,0.8532915662831766,-0.15865397713642387,0.8528472832582427,0.15959962250240958,4.562081574340842
Slope_Theta_channel23,0.8531898269766844,-0.15877321583075082,0.8226738593168161,0.2128114858844804,3.420552597671563
Slope_Alpha_channel19,0.8511758121109952,-0.1611365770214905,0.6927534865825133,0.3827242504291824,1.8930085102011862
Slope_Theta_channel7,0.8511577536832715,-0.16115779310755887,0.8354485438705083,0.1860410364042286,3.894138280766349
Slope_Beta_channel10,0.8467654456817233,-0.16633154631484165,0.8069004150868095,0.22311213419911888,3.213683211692388
Slope_Gamma_channel2,0.8460941105927126,-0.16712468372747033,0.9093272523151367,0.04767773320814737,15.014875830072839
Slope_Theta_channel48,0.840969938970389,-0.1731993640352061,0.8573320932550544,0.12726137390838707,5.557306325806139
Slope_Beta_channel41,0.8401468548051999,-0.17417857527621539,0.871901911911217,0.10112709416099844,6.979798475325839
Slope_Theta_channel10,0.8397789967532773,-0.17461652086466,0.8213401768239363,0.18449029808377987,3.822579131330179
Slope_Theta_channel69,0.8384716851208768,-0.17617446677934978,0.8371699490093404,0.1562459039294134,4.499540461982606
Slope_Delta_channel78,0.836810993911759,-0.17815704771791702,0.9301135718319326,0.01561360689876187,44.84887086449671
Slope_Theta_channel103,0.8365386668718447,-0.1784825350308208,0.8246776682222398,0.1724635884915393,4.057650355605663
Slope_Beta_channel51,0.8364332177466429,-0.17860859707204324,0.8212277790913135,0.17767355745279348,3.93767388788783
Slope_Theta_channel76,0.8363533357662143,-0.1787041047509179,0.7919456329137203,0.22168364626672715,3.155338312171479
Slope_Beta_channel14,0.8339754201511111,-0.18155134929857927,0.8021180162630033,0.20160586966248997,3.4498747609907876
