,spearman_corr,p_val1,pearson_corr,p_val2
Apathy_Theta_channel52,0.5205282300188528,0.018622531901623284,0.19256385175047502,0.4160025064498654
BDI_Beta_channel0,0.520185934636267,0.01871391331588578,0.01603519652339304,0.9465036564647539
BDI_Alpha_channel45,0.5171439116266981,0.019541857464142127,0.4256442589742989,0.06133069361074711
MoCA corretto_Beta_channel13,-0.5165668508754261,0.01970215992935238,-0.6034898931793385,0.004843451810261735
UPDRS III _Alpha_channel36,-0.5158138379732754,0.019912914467076215,-0.5400260598197377,0.013976170782021732
MoCA corretto_Gamma_channel11,-0.5150608250711246,0.020125461151502284,-0.5060856641184281,0.022800622025344032
BDI_Alpha_channel39,0.5141018886171292,0.02039874332299108,0.12506521051181613,0.5993291436473578
BDI_Alpha_channel0,0.5133413828647371,0.020617569200963425,0.12240741424707911,0.6071717684341417
mH&Y_Delta_channel67,-0.5132944359184718,0.020631138555293225,-0.6317397553818956,0.0028091483803492135
MoCA corretto_Gamma_channel6,-0.5120487734625215,0.020993783243120887,-0.6108692964345839,0.0042214157967066825
UPDRS III _Alpha_channel63,-0.5112957605603708,0.02121545130119138,-0.5104649648195276,0.02146217125397947
UPDRS III _Beta_channel51,-0.51054274765822,0.021438975940794754,-0.44369052483064036,0.05004210249128316
BDI_Alpha_channel43,0.5057363253408151,0.022910176587314358,0.1046114367433735,0.6607190753817085
BDI_Alpha_channel49,0.5026943023312462,0.02388191304452354,0.1279435097546907,0.5908835429090218
Apathy_Delta_channel94,-0.5024491019140012,0.023961638016843593,-0.45392074150357087,0.044392113902288255
MoCA corretto_Alpha_channel8,-0.5015065928324108,0.024270050442149617,-0.5130012787551208,0.02071603232266421
MoCA corretto_Theta_channel13,-0.5015065928324108,0.024270050442149617,-0.5021119906306746,0.024071590809397504
BDI_Theta_channel40,0.5011732908264618,0.024379863655770585,0.15917032638548143,0.502672640505552
BDI_Theta_channel39,0.5011732908264618,0.024379863655770585,0.09084794080299313,0.7032676502776021
Apathy_Theta_channel45,0.5009425079052636,0.024456129844525873,0.42485945862355634,0.06186189684791984
UPDRS III _Alpha_channel97,-0.4984945412238077,0.02527677408597089,-0.44032555543569046,0.052015903726390755
UPDRS III _Beta_channel52,-0.4969885154195062,0.025792354301088068,-0.49510222496744083,0.026449785956907713
UPDRS III _Alpha_channel61,-0.4969885154195062,0.025792354301088068,-0.4593829199267645,0.04158400142289057
mH&Y_Beta_channel54,-0.49559462778335206,0.026276907596590567,-0.5856483800425112,0.0066648641090493056
MoCA corretto_Gamma_channel82,-0.49548248961520464,0.026316199741839626,-0.6482111455494465,0.0019948359873817752
UPDRS III _Alpha_channel77,-0.49548248961520464,0.026316199741839626,-0.46279053343864396,0.03990299743095703
Apathy_Alpha_channel12,0.494916131870313,0.026515354660645942,0.17638303348107676,0.45694890754328127
MoCA corretto_Alpha_channel15,-0.49397646381090315,0.02684840054072201,-0.3853994769838347,0.09332169694250306
Apathy_Beta_channel54,0.4919029438528377,0.027594980783422245,0.2119389456258773,0.36969659535345456
mH&Y_Beta_channel75,-0.4911696757495722,0.02786287370841095,-0.5451128400116222,0.01293240984702499
UPDRS III _Alpha_channel20,-0.49021139930014934,0.028216051571969,-0.5645282591983184,0.009510720786196383
Apathy_Theta_channel54,0.48964305283973136,0.028427176109677075,0.16418696090337984,0.48912300501285516
MoCA corretto_Gamma_channel36,-0.48945838639799855,0.028496041132437016,-0.386182987083118,0.09260108242546988
UPDRS III _Beta_channel109,-0.487952360593697,0.029062570925186826,-0.41198512756953487,0.07108109716585527
UPDRS III _Beta_channel97,-0.48719934769154627,0.029349134067275177,-0.43646943799239557,0.05435029601705023
mH&Y_Beta_channel52,-0.48674472371579225,0.029523214858899676,-0.6330735341643999,0.0027342958402452777
mH&Y_Beta_channel51,-0.48674472371579225,0.029523214858899676,-0.5215510251519074,0.01835160081606029
Apathy_Delta_channel52,0.4858765678178873,0.029857893072716062,0.27916597006059296,0.23327690712869253
UPDRS III _Beta_channel66,-0.4856933218872447,0.029928914246904356,-0.44285767915347585,0.050525199807695986
