,spearman_corr,p_val1
UPDRS III _Alpha_channel75,-0.533133134722743,0.01549770885130144
BDI_Beta_channel39,0.5315935209221501,0.015855085497246253
BDI_Beta_channel45,0.5293120036649733,0.01639680497514793
Apathy_Alpha_channel45,0.5288144970669099,0.016516879557623
UPDRS III _Beta_channel11,-0.5286150573098384,0.016565212322024566
Apathy_Alpha_channel51,0.5273079030581722,0.016884804519791
MoCA corretto_Theta_channel7,-0.5256030057012354,0.01730904357847834
UPDRS III _Alpha_channel79,-0.5256030057012354,0.01730904357847834
BDI_Delta_channel63,-0.5239884633982279,0.01771862236628838
UPDRS III _Alpha_channel110,-0.5225909540926323,0.018079368647954577
MoCA corretto_Gamma_channel12,-0.5210849282883308,0.01847467331094132
UPDRS III _Alpha_channel62,-0.5210849282883308,0.01847467331094132
Apathy_Theta_channel52,0.5205282300188528,0.018622531901623284
BDI_Beta_channel0,0.520185934636267,0.01871391331588578
BDI_Alpha_channel45,0.5171439116266981,0.019541857464142127
MoCA corretto_Beta_channel13,-0.5165668508754261,0.01970215992935238
UPDRS III _Alpha_channel36,-0.5158138379732754,0.019912914467076215
MoCA corretto_Gamma_channel11,-0.5150608250711246,0.020125461151502284
BDI_Alpha_channel39,0.5141018886171292,0.02039874332299108
BDI_Alpha_channel0,0.5133413828647371,0.020617569200963425
mH&Y_Delta_channel67,-0.5132944359184718,0.020631138555293225
MoCA corretto_Gamma_channel6,-0.5120487734625215,0.020993783243120887
UPDRS III _Alpha_channel63,-0.5112957605603708,0.02121545130119138
UPDRS III _Beta_channel51,-0.51054274765822,0.021438975940794754
BDI_Alpha_channel43,0.5057363253408151,0.022910176587314358
BDI_Alpha_channel49,0.5026943023312462,0.02388191304452354
Apathy_Delta_channel94,-0.5024491019140012,0.023961638016843593
MoCA corretto_Alpha_channel8,-0.5015065928324108,0.024270050442149617
MoCA corretto_Theta_channel13,-0.5015065928324108,0.024270050442149617
BDI_Theta_channel40,0.5011732908264618,0.024379863655770585
BDI_Theta_channel39,0.5011732908264618,0.024379863655770585
Apathy_Theta_channel45,0.5009425079052636,0.024456129844525873
UPDRS III _Alpha_channel97,-0.4984945412238077,0.02527677408597089
UPDRS III _Beta_channel52,-0.4969885154195062,0.025792354301088068
UPDRS III _Alpha_channel61,-0.4969885154195062,0.025792354301088068
mH&Y_Beta_channel54,-0.49559462778335206,0.026276907596590567
MoCA corretto_Gamma_channel82,-0.49548248961520464,0.026316199741839626
UPDRS III _Alpha_channel77,-0.49548248961520464,0.026316199741839626
Apathy_Alpha_channel12,0.494916131870313,0.026515354660645942
MoCA corretto_Alpha_channel15,-0.49397646381090315,0.02684840054072201
Apathy_Beta_channel54,0.4919029438528377,0.027594980783422245
mH&Y_Beta_channel75,-0.4911696757495722,0.02786287370841095
UPDRS III _Alpha_channel20,-0.49021139930014934,0.028216051571969
Apathy_Theta_channel54,0.48964305283973136,0.028427176109677075
MoCA corretto_Gamma_channel36,-0.48945838639799855,0.028496041132437016
UPDRS III _Beta_channel109,-0.487952360593697,0.029062570925186826
UPDRS III _Beta_channel97,-0.48719934769154627,0.029349134067275177
mH&Y_Beta_channel52,-0.48674472371579225,0.029523214858899676
mH&Y_Beta_channel51,-0.48674472371579225,0.029523214858899676
Apathy_Delta_channel52,0.4858765678178873,0.029857893072716062
UPDRS III _Beta_channel66,-0.4856933218872447,0.029928914246904356
BDI_Delta_channel41,0.4852026700262255,0.030119730384170255
BDI_Gamma_channel111,-0.4852026700262255,0.030119730384170255
MoCA corretto_Theta_channel6,-0.48494030898509394,0.030222154296697713
BDI_Delta_channel112,-0.48368165852144124,0.030717327244051428
BDI_Beta_channel112,-0.48368165852144124,0.030717327244051428
BDI_Alpha_channel4,0.482921152769049,0.031019589738201778
UPDRS III _Beta_channel50,-0.4826812702786416,0.031115412703448773
BDI_Gamma_channel64,-0.4821606470166568,0.03132417749935267
Apathy_Theta_channel51,0.48211008279604317,0.03134451154767418
BDI_Gamma_channel24,-0.48140014126426456,0.03163110246566611
UPDRS III _Alpha_channel99,-0.48117524447434007,0.03172231585436551
BDI_Theta_channel3,0.4806396355118724,0.031940376590954736
BDI_Gamma_channel65,-0.47911862400708793,0.03256602021013498
BDI_Theta_channel42,0.47911862400708793,0.03256602021013498
BDI_Beta_channel41,0.4783581182546957,0.032882413687158864
mH&Y_Beta_channel53,-0.4778948196482323,0.03307633417745543
mH&Y_Alpha_channel67,-0.4778948196482323,0.03307633417745543
Apathy_Beta_channel11,0.47683700376546145,0.03352244770172902
MoCA corretto_Beta_channel82,-0.4759041541592848,0.03391974495358601
BDI_Delta_channel96,-0.4745555894927347,0.034500578696076076
BDI_Delta_channel0,0.4737950837403425,0.03483153560411062
UPDRS III _Gamma_channel89,-0.4736451154528324,0.0348970899246425
BDI_Gamma_channel60,-0.4730345779879503,0.0351649620022459
UPDRS III _Gamma_channel87,-0.4721390896485309,0.035560750729267565
Apathy_Beta_channel13,0.4708106277305109,0.03615428608886737
BDI_Gamma_channel42,0.47075306073077366,0.03618017925145858
BDI_Delta_channel3,0.4692320492259893,0.03686956044645016
