,odds_ratios,log_odds
Beta_channel103,1.0522165880256527,0.05089897527835822
Beta_channel108,1.0520487164751708,0.05073942167978979
Alpha_channel53,1.051928033841016,0.05062470307915026
Gamma_channel107,1.0519123238687846,0.050609768512300424
Theta_channel34,1.050659561968474,0.049418121218816655
Alpha_channel62,1.050574131602724,0.04933680673575041
Beta_channel99,1.0503980724593565,0.04916920895084003
Alpha_channel70,1.0501999628078427,0.048980586807264685
Theta_channel67,1.0496557716140944,0.04846227386127451
Alpha_channel16,1.049611034050135,0.04841965177641555
Gamma_channel86,1.0490839555569256,0.04791736010763927
Delta_channel107,1.0484869440550306,0.04734811926040369
Beta_channel67,1.0477150257828145,0.046611626958406774
Theta_channel11,1.0475777259511052,0.04648057144667241
Gamma_channel1,1.0462134630888313,0.045177420432873684
Theta_channel50,1.0458376702649166,0.04481816264804677
Theta_channel68,1.0457104663971173,0.044696526558753565
Delta_channel0,1.0452666679034441,0.044272037459320485
Delta_channel80,1.0452502997350317,0.04425637801367509
Delta_channel1,1.0446602498893984,0.04369171283083533
Alpha_channel83,1.04440317123225,0.04344559425363275
Alpha_channel108,1.0439848372800875,0.04304496567690019
Beta_channel42,1.0439200147060894,0.04298287225922622
Beta_channel41,1.042925834831133,0.04203006594591857
Beta_channel33,1.042317503324198,0.041446602603236626
Theta_channel53,1.0416019852796246,0.04075989846077429
Alpha_channel20,1.0415414419262548,0.04070177154296725
Beta_channel3,1.041055449469225,0.04023505379469862
Beta_channel83,1.040624044877771,0.039820576351075394
Theta_channel3,1.0404382496556146,0.039642018291436217
Theta_channel80,1.0403601601034147,0.03956696099432348
Theta_channel41,1.04026777419288,0.03947815519769596
Alpha_channel12,1.0400247416590271,0.03924450292705922
Alpha_channel74,1.0399758580474616,0.03919749946794342
Delta_channel39,1.038896369330226,0.03815896636326974
Alpha_channel3,1.0387563296382967,0.03802416068356127
Beta_channel70,1.0385395450233237,0.037815442591541515
Theta_channel69,1.0382643847746467,0.037550458260243606
Theta_channel42,1.0375383287976403,0.03685091585973738
Beta_channel43,1.037231094704407,0.03655475370118741
Beta_channel2,1.0369213603549763,0.03625609257724001
Alpha_channel42,1.0365790353886477,0.03592590217058125
Alpha_channel35,1.0364214930388902,0.0357739076603046
Theta_channel105,1.0357166159174338,0.03509356966005456
Alpha_channel68,1.0357049822536522,0.03508233711927955
Beta_channel104,1.0355283712507364,0.03491180007858844
Theta_channel43,1.03544757219783,0.034833770149556284
Delta_channel67,1.035424150871205,0.034811150374159015
Gamma_channel11,1.0352789741917492,0.034670930679760036
Theta_channel45,1.0350358814307599,0.03443609416545283
Beta_channel86,1.034725978682553,0.034136636767483436
Alpha_channel41,1.034516872366537,0.03393452775295027
Delta_channel3,1.0343872457286436,0.033809218284107004
Alpha_channel105,1.0342577022992774,0.03368397356324868
Gamma_channel84,1.0338102946218424,0.03325129177030826
Alpha_channel2,1.0330578758792635,0.032523215556686684
Alpha_channel58,1.0328458412493988,0.03231794497330856
Beta_channel74,1.0328365394641925,0.032308938956417246
Alpha_channel106,1.0327363943877703,0.03221197304941924
Theta_channel108,1.0327039829483375,0.0321805885177804
Alpha_channel10,1.032601082768949,0.03208094204793739
Alpha_channel49,1.0325627780954758,0.03204384603419872
Theta_channel2,1.0320623082724703,0.03155904146981342
Gamma_channel79,1.0318050288400231,0.03130972366807922
Alpha_channel13,1.031804563482174,0.031309272654621384
Gamma_channel39,1.031740123193085,0.031246816736388898
Beta_channel84,1.031578326124416,0.03108998484351839
Delta_channel11,1.0315227621870744,0.031036120359931064
Alpha_channel55,1.0309799225472336,0.030509731079186857
Alpha_channel43,1.0309773848731743,0.03050726965668287
Alpha_channel36,1.0308586119585914,0.030392058830121846
Alpha_channel6,1.0306039806462235,0.030145019359625005
Gamma_channel40,1.029912245333868,0.029473599906946184
Delta_channel41,1.0294532330374908,0.02902781958402697
Alpha_channel81,1.02936814773272,0.028945165201656475
Beta_channel82,1.0291738195241973,0.02875636340680267
Beta_channel35,1.0286886926417844,0.028284877203490613
Beta_channel6,1.0286263788141596,0.028224299386793075
Beta_channel52,1.0285707580972947,0.028170225116631465
Delta_channel2,1.0281899713503106,0.027799946993480942
Gamma_channel0,1.028086596715648,0.027699401535389426
Alpha_channel46,1.0280403724633165,0.027654439086053965
Alpha_channel60,1.027822840724872,0.027442818256554292
Gamma_channel91,1.0273994462723564,0.027030800090749214
Beta_channel49,1.026906012855247,0.026550410551397924
Gamma_channel101,1.0268831413408457,0.026528138046593312
Alpha_channel69,1.026746999809798,0.026395551824255462
Beta_channel61,1.0266157587759863,0.026267721480160915
Beta_channel58,1.0263819401907972,0.026039938871034955
Beta_channel109,1.026332978181622,0.025992234234851704
Delta_channel42,1.0261023224853951,0.025767471293848907
Theta_channel33,1.0260777657750992,0.025743538978710144
Alpha_channel52,1.025999035629808,0.02566680681617513
Beta_channel13,1.0257148296200904,0.025389764274962017
Delta_channel43,1.025602882150095,0.025280617389071044
Delta_channel50,1.0255696640134608,0.025248227976781612
Delta_channel68,1.025480577844928,0.025161359145613318
Gamma_channel43,1.0253039451491084,0.024989100486279756
Beta_channel68,1.0252646758539752,0.02495079960257787
Beta_channel102,1.0250756637298994,0.024766428139009422
Beta_channel53,1.0249161821323587,0.024610835717327903
Alpha_channel7,1.02477915337818,0.024477129256656762
Beta_channel69,1.0246832138411992,0.024383505154467345
Alpha_channel59,1.0245458476471914,0.024249438937278506
Beta_channel105,1.0245347201445523,0.024238577965958838
Alpha_channel89,1.0242327925702468,0.023943837274672555
Beta_channel62,1.023997804861242,0.023714382924824792
Theta_channel4,1.0239478121919194,0.02366556066224515
Delta_channel70,1.0238168919531712,0.023537694175766764
Delta_channel45,1.0236139259902126,0.02333943012518736
Alpha_channel75,1.0231743998970773,0.02290995132238955
Beta_channel10,1.0227055498627118,0.022451615492246463
Gamma_channel13,1.0224842785059558,0.022235233272317415
Theta_channel49,1.0221197452277975,0.021878652459808575
Theta_channel6,1.0214478529523106,0.02122108448868245
Beta_channel57,1.021359301527141,0.021134388664232392
Gamma_channel50,1.0212612001733485,0.021038334253943112
Delta_channel53,1.020958063320149,0.02074146421570116
Delta_channel33,1.0208572741419095,0.02064273914838279
Beta_channel4,1.0198750211842205,0.019680091538216052
Delta_channel4,1.0197120832679032,0.019520316144158917
Alpha_channel4,1.019668520945331,0.019477595013548073
Delta_channel34,1.0196631317916873,0.019472309798035128
Alpha_channel87,1.0196322052802773,0.019441979211925125
Delta_channel49,1.01950119763077,0.019313485755341524
Gamma_channel67,1.0194527434079614,0.0192659572439393
Gamma_channel33,1.0193490122272486,0.019164200238369077
Gamma_channel3,1.0192246167501848,0.01904215855643036
Gamma_channel42,1.0190084968025857,0.018830092579313076
Alpha_channel51,1.0189880317907014,0.01881000911832785
Gamma_channel6,1.0188896982120565,0.01871350325119626
Alpha_channel80,1.0187498766506289,0.01857626449379076
Beta_channel56,1.0185533305978722,0.01838331721655972
Beta_channel106,1.0183221587664468,0.018156330507136203
Alpha_channel54,1.017984337944876,0.01782453288706735
Beta_channel46,1.0178902828975092,0.017732135205529468
Theta_channel74,1.0178237296577026,0.017666749557624192
Gamma_channel41,1.0178107834483827,0.01765402997634695
Gamma_channel73,1.0172895015463004,0.0171417388452157
Delta_channel95,1.0171662996935318,0.017020623554488617
Theta_channel10,1.016962158748895,0.01681990767101066
Gamma_channel15,1.0169290908843454,0.01678739082473519
Theta_channel58,1.0166480567935854,0.01651099699048118
Delta_channel101,1.0164540655672456,0.016320164247949485
Theta_channel104,1.016198327727244,0.016068534562328114
Alpha_channel115,1.0161613513093972,0.01603214689115726
Alpha_channel77,1.0160918060914628,0.01596370540028464
Alpha_channel8,1.0157887590922012,0.015665413259790387
Beta_channel115,1.0157243572422177,0.015602010420313525
Beta_channel20,1.015715563896985,0.015593353166765219
Delta_channel46,1.0156759895863303,0.01555439040688582
Gamma_channel70,1.0155489591841318,0.015429312775832765
Theta_channel62,1.0150927456135488,0.014979983308028732
Gamma_channel2,1.0149523712439368,0.014841686509923081
Gamma_channel10,1.0148747615761176,0.014765217271136987
Beta_channel7,1.0147891301973802,0.014680837409884757
Delta_channel69,1.0147775180853507,0.014669394462653102
Theta_channel55,1.0147131904862774,0.014606001613577235
Beta_channel16,1.0146282479341415,0.014522287211872997
Theta_channel35,1.014530457913996,0.014425902419555395
Beta_channel60,1.0141572697989,0.01405799156348085
Beta_channel54,1.0139916621217995,0.013894682375617666
Alpha_channel82,1.0138743021917553,0.013778935149479069
Gamma_channel17,1.0137852211028946,0.013691069225348578
Theta_channel46,1.0137845490701969,0.013690406330579103
Delta_channel10,1.0136059304600145,0.013514200895614451
Theta_channel61,1.0135588192836504,0.01346772102625151
Gamma_channel49,1.0132531607355026,0.013166105924822978
Gamma_channel38,1.0132462584119273,0.013159293859139592
Beta_channel12,1.0132400669892474,0.013153183358809698
Theta_channel106,1.013224574793304,0.013137893483403646
Beta_channel55,1.013199370577978,0.013113017923297122
Gamma_channel93,1.0129639715755883,0.012880658568499456
Alpha_channel44,1.0124062825401021,0.012329955260353834
Alpha_channel21,1.012385371019747,0.012309299781733077
Alpha_channel17,1.0123084538473939,0.012233320716211613
Beta_channel59,1.0123053695204072,0.012230273886291582
Theta_channel115,1.0122496505803864,0.012175230739050334
Delta_channel6,1.0119638108358349,0.011892810182226822
Theta_channel12,1.011729775599103,0.011661515050054699
Beta_channel75,1.0115658480098921,0.011499474873960861
Delta_channel74,1.011318220413205,0.011254648586790567
Gamma_channel8,1.0109480702496854,0.01088857398092653
Delta_channel55,1.0108567544904128,0.010798243046686674
Gamma_channel69,1.0108351917799432,0.01077691169547849
Theta_channel57,1.0107797801093252,0.01072209248271799
Gamma_channel82,1.010666826835621,0.010610337590519792
Delta_channel40,1.0104685781092686,0.01041416198892168
Theta_channel81,1.0104409709314763,0.010386840451639498
Theta_channel86,1.010290257216707,0.01023767294935175
Gamma_channel57,1.0102040264222867,0.010152316811330575
Alpha_channel56,1.00978833321007,0.009740737810942385
Delta_channel91,1.0095899269081279,0.009544235445339003
Gamma_channel7,1.0095060094778048,0.009461111678053712
Gamma_channel58,1.0094991373531552,0.009454304241568939
Alpha_channel9,1.009260370310356,0.009217755962285449
Delta_channel13,1.009257970901469,0.009215378566115252
Delta_channel97,1.0091432638980382,0.009101717316234213
Gamma_channel35,1.0090244112543079,0.008983934591507174
Beta_channel100,1.0089423969959688,0.008902650540601196
Theta_channel7,1.0088390023536324,0.008800167048127529
Alpha_channel72,1.0083802894298544,0.008345369760045773
Delta_channel52,1.0078960915819317,0.007865080587598623
Beta_channel5,1.0078112854900658,0.007780935346200375
Gamma_channel52,1.0077614291872674,0.00773146424307865
Theta_channel52,1.0075922011766147,0.0075635254669742386
Alpha_channel85,1.0075066630315477,0.007478628247648844
Beta_channel51,1.0075008859912198,0.00747289423406592
Delta_channel7,1.0066259099583554,0.006604055102720354
Theta_channel13,1.006621184981443,0.006599361215989655
Beta_channel44,1.0064757400398963,0.00645486251849314
Alpha_channel109,1.00642898784582,0.006408410052624231
Theta_channel60,1.0063976882742702,0.006377309936629674
Delta_channel44,1.0062930108836776,0.006273292572480413
Gamma_channel19,1.0062087102657389,0.006189515632463757
Beta_channel17,1.0061403322490445,0.00612155722636622
Delta_channel9,1.0061336648980657,0.006114930543331573
Delta_channel5,1.0060196864238762,0.006001640495894063
Gamma_channel9,1.005972489607436,0.00595472498895419
Delta_channel84,1.0059223488147513,0.005904880641488773
Theta_channel36,1.0057204362640677,0.005704136699413833
Beta_channel32,1.0056730086065875,0.00565697769369093
Beta_channel9,1.0056182953462678,0.005602571591277275
Theta_channel75,1.0054861899278253,0.005471195604002793
Gamma_channel68,1.0054213512750045,0.005406708648223207
Delta_channel35,1.0052642807202694,0.005250472832384774
Delta_channel12,1.0052439529440382,0.005230251302433885
Gamma_channel5,1.005243270685416,0.005229572602649782
Beta_channel15,1.0052320599933184,0.005218420322463592
Theta_channel84,1.0052165740549686,0.00520301486709609
Gamma_channel56,1.0051112690024964,0.005098250807908141
Theta_channel51,1.0050166159603433,0.005004074668239575
Gamma_channel74,1.0048475114623234,0.004835800110659679
Beta_channel64,1.0047005306651757,0.004689517668709001
Beta_channel36,1.004497663522868,0.004487579260060284
Delta_channel58,1.0041327086015985,0.004124192416616709
Gamma_channel45,1.0039508326820665,0.003943048638193074
Alpha_channel15,1.003874719585294,0.003867232194156814
Theta_channel9,1.0038090102004238,0.0038017742896883943
Gamma_channel108,1.0037811817148685,0.0037740510166128036
Theta_channel82,1.003746778915759,0.0037397772233830886
Beta_channel25,1.0035287076989399,0.003522496417503351
Delta_channel48,1.0033191889291282,0.003313692580476093
Beta_channel81,1.003220870229854,0.0032156943382739413
Alpha_channel84,1.0032173781354434,0.0032122134492774067
Beta_channel19,1.0031781912447375,0.0031731514703646733
Theta_channel59,1.002955090327011,0.0029507326304045755
Alpha_channel33,1.0028532179360672,0.0028491552357833238
Theta_channel102,1.002598914310182,0.002595542972335015
Beta_channel21,1.0024544367048938,0.0024514294947907394
Theta_channel44,1.0023095474879808,0.0023068845824642343
Beta_channel92,1.0021433956808723,0.002141101885439263
Alpha_channel47,1.0016948204086513,0.0016933858212257544
Gamma_channel12,1.001336489120079,0.0013355968134453184
Delta_channel51,1.0012324622759208,0.0012317034177354697
Delta_channel32,1.0012237020958694,0.0012229539827093448
Delta_channel16,1.0010718763399262,0.0010713022906520327
Delta_channel17,1.0009821360109048,0.0009816540308870336
Gamma_channel55,1.0009033120244646,0.0009029042836840315
Theta_channel5,1.0008782181537665,0.0008778327458354752
Theta_channel89,1.0008285490626396,0.0008282060053452514
Gamma_channel75,1.0007632744589765,0.0007629833131667185
Theta_channel56,1.0005286206032202,0.0005284809325688206
Beta_channel38,1.0005024729624994,0.0005023467652324964
Theta_channel54,1.0004106103638992,0.00041052608653296876
Gamma_channel99,1.0003789580287261,0.0003788862422678416
Beta_channel87,1.0003652095833107,0.00036514291052334
Theta_channel20,1.0002912572334899,0.0002912148263360049
Alpha_channel100,1.000238086576878,0.00023805823876698695
Gamma_channel54,1.0002255730135103,0.00022554757574347892
Gamma_channel53,1.0002195400443648,0.0002195159489758499
Gamma_channel14,1.0001160656769021,0.00011605894180267469
Alpha_channel19,1.0000587191790684,5.871745516499882e-05
Alpha_channel104,1.0000264463906394,2.644604093981544e-05
Beta_channel114,0.9999331190120032,-6.68832246297455e-05
Theta_channel77,0.9998267277618342,-0.00017328725153427927
Gamma_channel32,0.9997476714971266,-0.00025236034306624526
Delta_channel56,0.9996409758298714,-0.00035908863473596586
Gamma_channel51,0.9996153212901158,-0.0003847527177192042
Delta_channel54,0.9994710855549584,-0.0005290543696275982
Delta_channel59,0.9994003208338945,-0.0005998590455735628
Delta_channel75,0.9993595149256508,-0.0006406902725367492
Gamma_channel4,0.9992474052717976,-0.000752878069784714
Alpha_channel92,0.9992240499536932,-0.000776251251367434
Delta_channel83,0.9988506894713002,-0.001149971492529221
Alpha_channel64,0.9988324105885953,-0.0011682715749645228
Delta_channel38,0.9987360850992715,-0.0012647143148319462
Theta_channel8,0.998572970345506,-0.0014280488310236
Theta_channel16,0.9985299376068747,-0.0014711439949899284
Beta_channel8,0.9984647689760207,-0.0015364106986645823
Delta_channel8,0.9984272116437843,-0.001574026486203626
Delta_channel82,0.9983664310618404,-0.001634904666765507
Delta_channel86,0.9982841958661977,-0.0017172778116514647
Theta_channel64,0.9980848544220283,-0.0019169818140782518
Beta_channel113,0.9980701275320784,-0.001931737071143348
Theta_channel21,0.9980241112739062,-0.0019778433694189472
Delta_channel93,0.9979854819392802,-0.0020165499315138715
Beta_channel47,0.997946174245133,-0.00205593774725436
Alpha_channel114,0.9975881431060754,-0.002414770105872617
Beta_channel77,0.9975563305489475,-0.0024466600843182874
Alpha_channel102,0.9973574510465232,-0.0026460466492095156
Alpha_channel86,0.9967572352888683,-0.0032480338667891387
Theta_channel100,0.9967096737593548,-0.003295751267370664
Beta_channel85,0.9966126859710009,-0.0033930639653965496
Delta_channel57,0.9965161948597805,-0.0034898877204722367
Theta_channel114,0.994412000958424,-0.005603670316199284
Delta_channel20,0.9942934396276166,-0.005722904998750259
Delta_channel81,0.9942224625414455,-0.005794291992561899
Gamma_channel36,0.9941561930038095,-0.0058609488513808004
Delta_channel47,0.9938792678870422,-0.006139540580760069
Theta_channel48,0.9938640654488221,-0.006154836759059763
Delta_channel61,0.9936028318071796,-0.006417717759500619
Delta_channel15,0.9935486053635533,-0.006472294821545721
Delta_channel19,0.9934914656230494,-0.006529807240498992
Theta_channel32,0.9934643828301668,-0.006557067829007106
Delta_channel36,0.9933785644040497,-0.006643454552517281
Delta_channel60,0.9933450036929712,-0.006677239535612684
Gamma_channel16,0.9920159845467401,-0.008016058372709443
Alpha_channel48,0.9918322955823893,-0.008201242861579526
Theta_channel38,0.9917917685315019,-0.008242104486144713
Delta_channel85,0.9916560555796867,-0.008378949983542845
