,pearson_corr,p_val2
UPDRS III _Alpha_channel77,-0.46279053343864396,0.03990299743095703
UPDRS III _Alpha_channel55,-0.4618234806667696,0.04037460653648024
MoCA corretto_Beta_channel38,-0.46158505462640187,0.040491541637641404
mH&Y_Alpha_channel58,-0.46144688224423935,0.04055942759598302
Apathy_Gamma_channel49,0.4610812391697836,0.04073949795858304
UPDRS III _Beta_channel55,-0.46105223924563754,0.04075380614972619
mH&Y_Gamma_channel67,-0.4601659146116082,0.04119298578107372
Apathy_Delta_channel39,0.4594113334852778,0.04156976214850926
UPDRS III _Alpha_channel61,-0.4593829199267645,0.04158400142289057
Apathy_Gamma_channel94,-0.45874994030239075,0.041902193724179373
MoCA corretto_Alpha_channel84,-0.4579863318458103,0.042288551653555696
UPDRS III _Delta_channel30,0.4571403254321226,0.04271980621973742
UPDRS III _Beta_channel79,-0.45699126527303485,0.042796140579809405
Apathy_Beta_channel45,0.4566360332050041,0.04297848086425286
UPDRS III _Alpha_channel24,-0.45655805553205875,0.043018586848543205
MoCA corretto_Beta_channel11,-0.45625698039930906,0.043173708830088385
MoCA corretto_Gamma_channel35,-0.4555513875848063,0.043538939816928676
UPDRS III _Alpha_channel52,-0.4543137914999915,0.04418529711151302
UPDRS III _Beta_channel12,-0.454156672344678,0.04426788150137524
Apathy_Delta_channel94,-0.45392074150357087,0.044392113902288255
mH&Y_Theta_channel53,-0.45379068416270757,0.04446071199550759
MoCA corretto_Gamma_channel15,-0.4528332146480357,0.0449682408917209
MoCA corretto_Gamma_channel8,-0.4516867069217225,0.045581828509561426
UPDRS III _Alpha_channel58,-0.45132396018303744,0.045777298250172856
UPDRS III _Beta_channel11,-0.4512956951635785,0.04579255617140961
MoCA corretto_Theta_channel8,-0.45124826871998625,0.04581816653079421
mH&Y_Alpha_channel36,-0.4501264316519478,0.046427178590654705
mH&Y_Beta_channel16,-0.4492432081859278,0.046911016096123394
mH&Y_Beta_channel77,-0.4491116416681651,0.046983419546623426
mH&Y_Gamma_channel11,-0.4480946691835241,0.047545977559039075
MoCA corretto_Beta_channel35,-0.44747146950642147,0.04789325838128859
UPDRS III _Beta_channel50,-0.4472697843029434,0.048006064164993
Apathy_Beta_channel48,0.44686587539399747,0.04823258966314202
mH&Y_Gamma_channel89,-0.445538564891379,0.04898276627865138
mH&Y_Gamma_channel45,-0.4447953714847386,0.0494066947236365
mH&Y_Beta_channel60,-0.44422191405310407,0.049735719513532124
Apathy_Beta_channel42,0.443780135405186,0.04999033473994203
UPDRS III _Beta_channel51,-0.44369052483064036,0.05004210249128316
UPDRS III _Alpha_channel73,-0.44318425275134055,0.05033534543182343
UPDRS III _Beta_channel66,-0.44285767915347585,0.050525199807695986
UPDRS III _Gamma_channel75,-0.44219393843910465,0.05091275471763907
UPDRS III _Gamma_channel36,-0.44201723431914075,0.05101631347137951
Apathy_Alpha_channel42,0.44187427222537634,0.05110021525109762
mH&Y_Gamma_channel16,-0.44113425030436304,0.05153620768039466
UPDRS III _Alpha_channel97,-0.44032555543569046,0.052015903726390755
mH&Y_Alpha_channel12,-0.43977257170966516,0.052345876617841375
UPDRS III _Alpha_channel54,-0.43975817027966313,0.0523544914445129
mH&Y_Beta_channel53,-0.43921559834363066,0.05267984311784695
mH&Y_Delta_channel47,-0.4391063332837428,0.052745549822557365
mH&Y_Gamma_channel76,-0.43881312749945994,0.05292217863236654
BDI_Alpha_channel66,0.4387803797666746,0.05294193402962925
BDI_Alpha_channel103,0.4387415631142775,0.052965357849446504
MoCA corretto_Delta_channel38,-0.4371604721312004,0.05392620110492849
MoCA corretto_Delta_channel36,-0.43681483222530215,0.054138007546116494
UPDRS III _Beta_channel97,-0.43646943799239557,0.05435029601705023
UPDRS III _Alpha_channel51,-0.4362193350818454,0.05450441128949213
Apathy_Delta_channel35,0.43562246754050704,0.05487355033894896
mH&Y_Delta_channel20,-0.43519706706323247,0.05513780321304556
UPDRS III _Beta_channel96,-0.435044693105743,0.05523269100574971
UPDRS III _Beta_channel60,-0.43480354687406914,0.055383113820585514
MoCA corretto_Alpha_channel38,-0.43340477240050373,0.05626180119071835
BDI_Alpha_channel40,0.4332126498128316,0.05638331236322941
BDI_Alpha_channel83,0.4330567575734404,0.05648205554454989
Apathy_Beta_channel6,0.432244265072201,0.05699882262183428
Apathy_Delta_channel83,0.43160134096670283,0.05741027849658063
mH&Y_Delta_channel87,-0.43112732976057944,0.05771507544725349
UPDRS III _Alpha_channel99,-0.43111710134128006,0.05772166599698912
mH&Y_Gamma_channel60,-0.4308882445154524,0.05786927634984399
mH&Y_Theta_channel58,-0.4297446510720965,0.05861117864854139
Apathy_Delta_channel6,0.4296737569434725,0.05865740721376737
mH&Y_Alpha_channel67,-0.429622829347747,0.05869063308355821
UPDRS III _Gamma_channel51,-0.4284062324112981,0.05948860755528376
UPDRS III _Beta_channel95,-0.42835975639985546,0.05951925363184947
MoCA corretto_Gamma_channel4,-0.4283110635621227,0.05955137430103469
MoCA corretto_Beta_channel5,-0.42816215914259953,0.05964968192035971
mH&Y_Beta_channel87,-0.4276090780298074,0.06001590597988464
mH&Y_Theta_channel12,-0.4273560366020961,0.06018402446914925
mH&Y_Alpha_channel60,-0.42716876588610764,0.060308674844787885
UPDRS III _Alpha_channel111,-0.42587177457507014,0.061177343228585986
BDI_Alpha_channel45,0.4256442589742989,0.06133069361074711
mH&Y_Delta_channel60,-0.4256373670299789,0.06133534345956543
MoCA corretto_Gamma_channel5,-0.42501118547425565,0.0617589282597589
UPDRS III _Gamma_channel12,-0.4249805998546836,0.06177967459047341
Apathy_Theta_channel45,0.42485945862355634,0.06186189684791984
UPDRS III _Alpha_channel12,-0.4243616590500223,0.06220063695070086
UPDRS III _Alpha_channel91,-0.42351000641489267,0.06278341180933843
Apathy_Beta_channel74,0.4230920586498516,0.06307091136486451
mH&Y_Beta_channel45,-0.4229184874860254,0.0631905997380201
mH&Y_Theta_channel59,-0.42241222307638926,0.0635406803997175
mH&Y_Theta_channel37,-0.4216622241227908,0.064061989450854
Apathy_Theta_channel44,0.421324688798182,0.06429765276092311
Apathy_Alpha_channel74,0.42127881545173007,0.06432973137768333
MoCA corretto_Theta_channel73,0.4205851735537239,0.06481625743238414
Apathy_Beta_channel13,0.4205385438560986,0.0648490630312702
mH&Y_Gamma_channel47,-0.4204451083289788,0.064914835784874
MoCA corretto_Delta_channel15,-0.4202402030993173,0.06505925214403008
UPDRS III _Delta_channel75,-0.4199924436526954,0.06523419500667901
UPDRS III _Alpha_channel70,-0.4196274082195798,0.06549259153496406
MoCA corretto_Beta_channel73,0.41954973532928447,0.0655476728885208
MoCA corretto_Beta_channel96,0.41910926452916564,0.06586069047319221
mH&Y_Beta_channel83,-0.41871821972807566,0.0661395252626018
mH&Y_Delta_channel62,-0.4187150538297706,0.06614178632702684
UPDRS III _Gamma_channel59,-0.4181921427915814,0.06651604475253525
MoCA corretto_Alpha_channel4,-0.41794198076765454,0.0666956531490233
mH&Y_Delta_channel66,-0.41746744452951684,0.06703735673920364
BDI_Alpha_channel89,0.4173293419274469,0.06713704828391034
mH&Y_Theta_channel36,-0.41620273490143866,0.06795447419189868
UPDRS III _Gamma_channel55,-0.41613394538546333,0.068004626390863
UPDRS III _Alpha_channel56,-0.4156925965828907,0.06832706092504047
mH&Y_Alpha_channel20,-0.4155607511665512,0.06842360498470021
UPDRS III _Alpha_channel89,-0.4154659204804386,0.0684931082185176
mH&Y_Beta_channel11,-0.41519752357998396,0.06869010868619467
mH&Y_Delta_channel68,-0.4141348545344873,0.06947427286896073
Apathy_Gamma_channel6,0.4131221437976369,0.07022779983755645
UPDRS III _Beta_channel15,-0.4130829773197226,0.0702570648856585
UPDRS III _Theta_channel52,-0.4127790857622736,0.070484442098949
MoCA corretto_Gamma_channel38,-0.41269249016504916,0.07054933530274304
UPDRS III _Beta_channel16,-0.41253592599001776,0.07066677529304048
MoCA corretto_Beta_channel4,-0.4125294494833416,0.07067163652184358
