,OR,log_OR,p-value,2.5%,97.5%
Alpha_channel8,1.0005467665379508,0.0005466171155908992,0.1829529090540788,0.9997421632623573,1.0013520173669384
Alpha_channel57,1.000521947737312,0.0005218115699711231,0.554828962666551,0.9987906833532533,1.002256213026783
Alpha_channel11,1.000517912357173,0.0005177782868573947,0.229223406345901,0.9996738036497143,1.001362733816639
Alpha_channel7,1.0005056183958856,0.0005054906139752818,0.1837586174712844,0.9997601909284378,1.0012516016587274
Delta_channel53,1.0005003854638315,0.00050026031277276,0.15288494997303678,0.9998143381264507,1.0011869035495615
Gamma_channel72,1.0004995017673253,0.000499377057844275,0.36552600456836726,0.9994179058728003,1.0015822681928888
Theta_channel74,1.000489415943591,0.0004892962186700857,0.09059480072262281,0.999922602501687,1.001056550687841
Theta_channel44,1.0004835224199462,0.0004834055606488338,0.11830342075865385,0.9998768208158585,1.0010905921562165
Alpha_channel6,1.0004767983252412,0.0004766846930381293,0.1528289419876248,0.9998231761257518,1.001130847822267
Alpha_channel13,1.0004743459349104,0.00047423346844137435,0.28560067141294154,0.9996038670192264,1.0013455828844193
Alpha_channel50,1.0004737934549284,0.00047368125024912995,0.20399294374704713,0.9997428402774747,1.0012052810623633
Alpha_channel68,1.0004691816021727,0.00046907157089977146,0.36749570052110636,0.9994490395452039,1.0014903649226525
Theta_channel0,1.0004617770396786,0.0004616704534729581,0.021497347821158676,1.0000681082498941,1.0008556007940248
Theta_channel57,1.0004615208807102,0.00046141441270536337,0.42263905415349656,0.9993338016521534,1.0015905127077285
Theta_channel2,1.0004569828143435,0.00045687842949742306,0.042330867924625926,1.0000158175458729,1.0008983427065297
Delta_channel42,1.0004531290407586,0.0004530264087973893,0.10036183184925751,0.9999126404942662,1.0009939097406424
Gamma_channel33,1.0004395737350265,0.0004394771507950538,0.3492748747531562,0.9995193337303699,1.001360660988593
Beta_channel69,1.0004354797730732,0.0004353849792764222,0.6131785181408448,0.9987481993396274,1.0021256106900174
Theta_channel4,1.0004237996025056,0.00042370982481826537,0.0522098356604111,0.9999959483212523,1.0008518339412193
Alpha_channel2,1.000423561977275,0.0004234723002223231,0.0362421531150232,1.0000271445282407,1.0008201365688376
Theta_channel9,1.0004198796926083,0.0004197915677970649,0.16673617612503222,0.9998247854347461,1.001015328149707
Alpha_channel4,1.0004179312682115,0.0004178439592643284,0.05062098742147679,0.9999988702193718,1.0008371679294124
Alpha_channel74,1.0004077866646106,0.0004077035422254704,0.05645069059997543,0.9999887953564731,1.0008269535284315
Alpha_channel0,1.0004062866348618,0.0004062041227951755,0.020814794674667424,1.0000617522072472,1.0007509397591183
Gamma_channel85,1.000405406521914,0.00040532436689317837,0.6016135131095581,0.9988843054805729,1.0019288238959523
Gamma_channel14,1.000402834754912,0.0004027536387757505,0.8076537714954162,0.9971643504516321,1.003651836663016
Alpha_channel35,1.0003860634276978,0.00038598892438745615,0.038369315869778646,1.00002067503443,1.0007515853268834
Theta_channel35,1.0003720907062676,0.0003720214976880937,0.05296952983714642,0.9999952334131624,1.000749090021469
Delta_channel3,1.0003547781406807,0.00035471522179714334,0.05681520404679553,0.9999897138651622,1.0007199756894951
Alpha_channel40,1.0003484699506169,0.00034840924906491815,0.02765347767486413,1.0000383202308558,1.0006587158595404
Delta_channel43,1.000340888165628,0.0003408300764580097,0.11113090380299699,0.9999215237224035,1.000760428489191
Theta_channel6,1.0003404796351922,0.0003404216851547592,0.1767403287071586,0.9998465152856799,1.0008346880229393
Beta_channel72,1.000338223892275,0.0003381667074680646,0.23189805706220368,0.9997837747449686,1.0008929805199231
Delta_channel48,1.0003377384094814,0.0003376813887032305,0.22156879693935483,0.999796258168521,1.0008795119110427
Theta_channel8,1.0003376461564057,0.00033758916677019906,0.3127753568837246,0.9996821489267947,1.0009935731992514
Delta_channel57,1.0003336407259582,0.00033358508026794893,0.3862287186381763,0.9995791067855146,1.0010887442275935
Gamma_channel88,1.0003324165872052,0.00033236134905256174,0.44974359663572794,0.9994706602777004,1.0011949159139555
Beta_channel107,1.0003307230525258,0.0003306683757119233,0.21198765202430336,0.999811426095912,1.0008502897293308
Gamma_channel81,1.0003293600620236,0.0003293058349048226,0.445617262224981,0.9994832455937722,1.0011761908101091
Beta_channel86,1.0003265549827953,0.00032650167532182134,0.10825728972152793,0.9999280600644829,1.0007252087107323
Theta_channel68,1.000308946228402,0.00030889851434306553,0.41139402730948216,0.9995719578482342,1.0010464779930337
Delta_channel68,1.0003046172664058,0.00030457087998621345,0.287082894766463,0.9997438484288397,1.0008657006462318
Delta_channel41,1.0002927805224464,0.00029273767059324337,0.09564902867555478,0.9999484148987834,1.00063726473991
Beta_channel80,1.0002918546752977,0.0002918120940067899,0.1307053189670566,0.9999133792576209,1.0006704733490253
Alpha_channel72,1.0002842854791534,0.00028424507769337346,0.14358274935378013,0.9999033402022293,1.00066537588941
Theta_channel1,1.0002796796135214,0.0002796405104689928,0.02299251829449574,1.0000385719253682,1.0005208454323498
Theta_channel47,1.0002790316789123,0.00027899275681358873,0.4025934245603662,0.9996257572465964,1.0009327330384867
Theta_channel7,1.0002775964234767,0.0002775579007185058,0.32304622646998404,0.9997271054109745,1.0008283905590543
Gamma_channel15,1.0002625722098386,0.0002625377437889675,0.888483995820265,0.9965987130850471,1.0039399010125556
Theta_channel5,1.000259797133386,0.00025976339195461854,0.11934858665371911,0.9999328812549683,1.000586819892969
Gamma_channel87,1.0002534320525276,0.0002533999440496454,0.6275346868225096,0.9992300875350728,1.0012778246108833
Beta_channel70,1.0002477808148202,0.0002477501222241713,0.5747957599411404,0.9993823811052832,1.0011139299038456
Theta_channel83,1.0002411259421466,0.00024109687595907315,0.2115531215349371,0.9998628633682694,1.0006195316182234
Beta_channel73,1.0002326255658411,0.00023259851270962257,0.21618559901677303,0.9998639881109886,1.0006013989327525
Alpha_channel67,1.0002325593964894,0.00023253235874469186,0.45949480759970684,0.9996164534345613,1.0008490450906187
Alpha_channel5,1.0002295379999897,0.00022951166017347178,0.11117838764731038,0.9999471166412951,1.0005120391247262
Theta_channel11,1.0002254993508157,0.00022547392965868336,0.3628336497075253,0.9997398692642815,1.0007113653352953
Theta_channel77,1.000223877090883,0.0002238520341467282,0.3793953432205339,0.9997247585622945,1.000723244807364
Beta_channel81,1.000220614440514,0.000220590108726695,0.27294828705991125,0.999826233804484,1.0006151506396614
Delta_channel47,1.0002204330549929,0.00022040876319682579,0.21002863202096222,0.9998757831981137,1.0005652017101527
Alpha_channel1,1.0002190263415114,0.00021900235874411063,0.0297745343687037,1.0000214777124787,1.0004166139951667
Delta_channel11,1.0002187587940186,0.00021873486980259816,0.1538601249155989,0.9999181043464326,1.0005195036421048
Beta_channel79,1.000217146661292,0.00021712308836801142,0.3696981371594764,0.999742758233152,1.000691760191718
Delta_channel39,1.0002143412430968,0.0002143182752944162,0.06993069837323317,0.9999825453446489,1.000446190871821
Theta_channel82,1.000208483199084,0.00020846146948198097,0.07248824062146357,0.9999809739030537,1.000436044256579
Gamma_channel101,1.0002078402274708,0.00020781863168299567,0.7825065633173511,0.9987331243208812,1.0016847336797452
Beta_channel33,1.0002036891910082,0.00020366844918146096,0.2637854710868808,0.9998464660109304,1.0005610399990816
Alpha_channel38,1.0002025732537787,0.00020255273858763403,0.263254647081849,0.9998477016855815,1.0005575707749883
Delta_channel0,1.0002015639722623,0.00020154366097410094,0.053579964266888755,0.9999968939655676,1.0004062758688987
Alpha_channel83,1.0002008026145122,0.00020078245636560805,0.19597633524782665,0.9998964600309909,1.000505237832033
Delta_channel10,1.00019886448751,0.00019884471658883942,0.20441317747270826,0.9998917548539997,1.0005060684475575
Theta_channel71,1.0001988562966129,0.00019883652732026962,0.36936173542915873,0.999764726254008,1.0006331748524637
Delta_channel2,1.0001986309624735,0.00019861123795581343,0.08856594902374594,0.9999700337159437,1.0004272804672705
Theta_channel38,1.0001962312219173,0.00019621197108941047,0.22036118147265749,0.9998824310640625,1.0005101298618895
Theta_channel13,1.000191394811555,0.00019137649790475783,0.6202074056104108,0.9994346275261026,1.0009487351177018
Beta_channel52,1.0001896095095293,0.0001895915359181997,0.8039857157291903,0.9986932491065972,1.0016882119366841
Delta_channel9,1.0001894144973285,0.0001893965606673945,0.16660445655688172,0.9999210283433451,1.0004578726881281
Delta_channel44,1.0001883437885366,0.0001883260540720087,0.1752105253110242,0.9999160526200449,1.0004607091057334
Theta_channel50,1.000186180238822,0.00018616290943223787,0.4014770320952843,0.9997512968416336,1.000621252806627
Delta_channel13,1.0001790257085892,0.00017900968539928056,0.3779762388658672,0.9997810752911532,1.0005771345252372
Delta_channel50,1.000175018612534,0.00017500329856331528,0.27016639464442904,0.9998639519253988,1.000486182075319
Alpha_channel81,1.0001680403907633,0.00016802627355830312,0.15325982406374372,0.9999374261463373,1.0003987078214471
Beta_channel87,1.0001669755286615,0.0001669615897994995,0.4935939674201797,0.9996890127527223,1.0006451668240826
Alpha_channel82,1.0001655711044413,0.00016555739905872632,0.13297161624558482,0.999949592251977,1.0003815966061218
Delta_channel6,1.0001640576959436,0.00016404423995151882,0.2008198377902577,0.9999127066268604,1.0004154719479021
Delta_channel4,1.0001635654538295,0.0001635520784591699,0.08215421927577454,0.999979146692867,1.0003480182257807
Delta_channel8,1.0001634957644752,0.00016348240049923995,0.2922535669307592,0.9998592552906141,1.0004678288136315
Theta_channel84,1.0001593247806082,0.00015931208976329177,0.15282145103458833,0.9999409044593033,1.0003777928121693
Delta_channel77,1.0001580129441072,0.00015800046137681345,0.2971756568930758,0.9998609621879728,1.0004551519516633
Delta_channel5,1.0001529587855476,0.00015294708854522384,0.09506609849647421,0.9999733642759755,1.0003325855501666
Beta_channel85,1.0001519159239416,0.00015190438588616494,0.651862452070777,0.9994921425855414,1.000812124784383
Delta_channel38,1.0001508113619166,0.00015079999102644005,0.1311164170908398,0.999955027133209,1.0003466339238125
Delta_channel83,1.000141190468443,0.00014118050200682912,0.2151309903878854,0.999917955980128,1.0003644747944835
Beta_channel66,1.0001301394431363,0.000130130975733727,0.5563458600711408,0.9996966198723575,1.0005638470101679
Beta_channel95,1.000126014400157,0.00012600646100938674,0.29523638675965236,0.9998900639815438,1.0003620204974912
Delta_channel74,1.0001232855911735,0.00012327799212951516,0.16607415873989395,0.9999488151863477,1.0002977864374794
Alpha_channel84,1.0001232213747882,0.0001232137836581308,0.21728137919722912,0.9999274823822984,1.0003189986838097
Delta_channel84,1.0001226810530446,0.00012267352833965733,0.08134076783369928,0.9999847268026854,1.0002606543350696
Delta_channel7,1.0001214515026016,0.00012144412796496368,0.3472298187457111,0.9998682270997657,1.0003747400364864
Theta_channel72,1.0001151900163436,0.00011518338248312412,0.3138057096297473,0.9998910631213553,1.0003393671496699
Alpha_channel73,1.000114890314019,0.00011488371463219059,0.16075546795206952,0.9999543412405828,1.0002754651646368
Beta_channel32,1.0001119714974176,0.00011196522907739337,0.584176251829514,0.9997110387375695,1.0005130650508067
Delta_channel67,1.0001118890003358,0.00011188274122833454,0.5119168360814054,0.999777556390168,1.0004463334136675
Delta_channel1,1.0001118689374402,0.00011186268057723058,0.03096920491577686,1.0000102404571551,1.0002135077459675
Delta_channel35,1.0001114726809794,0.0001114664683617966,0.09236227172353877,0.9999816617244482,1.000241300488704
Alpha_channel107,1.0001081078952976,0.00010810205206019241,0.15487290158238196,0.9999591595518824,1.0002570784252278
Delta_channel82,1.000107206093456,0.00010720034729340945,0.07576085467198936,0.9999888846031684,1.0002255415838743
Beta_channel34,1.0001050249810586,0.00010501946632137635,0.4808818609602419,0.9998130256305928,1.00039710961109
Theta_channel67,1.0001045930410204,0.00010458757154969561,0.6282470361096526,0.9996812808300782,1.000528084502321
Theta_channel33,1.0000916547864636,9.165058642019911e-05,0.24622080863314677,0.9999367411418426,1.00024659243084
Theta_channel69,1.0000914136527312,9.140947475790923e-05,0.7231709553646395,0.9995857158198487,1.0005973673219009
Theta_channel32,1.0000904122203864,9.040813344801096e-05,0.32615557312139054,0.9999099467127367,1.0002709102987688
Alpha_channel69,1.0000883600787436,8.835617522170225e-05,0.7927887971887808,0.9994292846409996,1.0007478701449692
Alpha_channel87,1.0000867763003505,8.677253550501779e-05,0.4482883854626192,0.9998624942324668,1.0003111086775978
Delta_channel40,1.0000853028602024,8.529922212018768e-05,0.1303197784015339,0.9999747900518117,1.0001958278819816
Delta_channel80,1.0000826743242412,8.267090690756227e-05,0.09396594747604621,0.9999859261482882,1.0001794318605355
Alpha_channel79,1.0000824006178426,8.239722309806032e-05,0.35225878258397536,0.9999087907056038,1.0002560406732321
Theta_channel73,1.0000823485048849,8.234511443296806e-05,0.26254482119286027,0.999938296716625,1.000226421045343
Theta_channel107,1.0000796063265671,7.960315815162915e-05,0.3123393998783215,0.9999251811373602,1.0002340553646973
