,OR,log_OR,p-value,2.5%,97.5%
Alpha_channel28,1.0001516510654616,0.00015163956760111128,0.3961003333916232,0.9998014285023207,1.0005019963088069
Theta_channel64,1.0001499842650052,0.00014997301848986572,0.3879113171061481,0.9998095489097609,1.0004905355385574
Alpha_channel21,1.0001479008979957,0.00014788996173617798,0.527820547795009,0.9996888187053838,1.000607193912671
Alpha_channel3,1.000146695151151,0.00014668439246958998,0.20097939408021193,0.9999218643909895,1.0003715764641334
Beta_channel99,1.0001458887226031,0.0001458780818784161,0.46405037442980157,0.9997554159693764,1.0005365139821016
Theta_channel3,1.0001457046625448,0.00014569404865149015,0.16686579404721247,0.9999391229496423,1.0003523290540497
Beta_channel72,1.0001435962432281,0.0001435859342743762,0.5759588539991292,0.9996404776288408,1.0006469680769934
Theta_channel21,1.000142918540545,0.0001429083286634941,0.4697760279859834,0.9997554474857618,1.0005305397658715
Gamma_channel62,1.0001425981328544,0.00014258796670715032,0.939925311606393,0.99644069128634,1.0038582580450757
Theta_channel71,1.0001422134007485,0.0001422032893814953,0.5117314278557973,0.9997174686263299,1.0005671386342758
Delta_channel14,1.0001415807319656,0.00014157071035959972,0.36256326658612414,0.9998368327566298,1.0004464215937856
Delta_channel20,1.0001394922738545,0.0001394825457119191,0.37736629567538993,0.999829808144692,1.0004492723236018
Beta_channel23,1.0001388188997204,0.00013880926526871443,0.7766506770527277,0.9991801249187711,1.0010984327289798
Delta_channel70,1.0001368763667455,0.0001368670000304654,0.31218417142401655,0.9998714475693858,1.00040237562561
Delta_channel49,1.000136259287604,0.0001362500051504478,0.3590552094705154,0.9998450989508109,1.0004275044118724
Delta_channel6,1.0001348130521133,0.00013480396565049933,0.2771223782682759,0.9998917022101995,1.0003779830033102
Gamma_channel72,1.0001330773806922,0.00013306852668310183,0.7985909887611066,0.9991113667769117,1.0011558328054933
Theta_channel39,1.0001329696938268,0.00013296085414065239,0.20973763396750644,0.9999251974521474,1.0003407851080401
Alpha_channel79,1.000131301325303,0.0001312927060385168,0.18046077068404465,0.9999391630419506,1.0003234765280216
Theta_channel66,1.0001310518188031,0.00013104323226378523,0.16032444937743306,0.9999481076444091,1.0003140294635051
Alpha_channel101,1.0001294374238323,0.00012942904753176433,0.2033394803764378,0.9999300153090405,1.0003288993105874
Theta_channel91,1.0001285125668031,0.0001285043097706309,0.21994948948147985,0.9999231827877553,1.000333884509408
Theta_channel107,1.0001273836218392,0.0001273755092345502,0.20280193207294872,0.9999313590230678,1.0003234466488915
Delta_channel28,1.0001273450863557,0.00012733697865860365,0.2584584671184743,0.9999064859667729,1.0003482529892513
Beta_channel2,1.0001270099973483,0.0001270019322613745,0.47254897662623396,0.9997805049534608,1.0004736351333408
Gamma_channel27,1.0001247803195767,0.00012477253516030677,0.8813638370182512,0.9984872901155215,1.0017649559600867
Theta_channel25,1.0001247234325894,0.00012471565526867768,0.44996826667184364,0.9998011767619414,1.000448374806503
Theta_channel93,1.0001243197302205,0.00012431200316324667,0.19147892970482383,0.9999377851038808,1.0003108891538919
Delta_channel61,1.000123900534103,0.00012389285906564578,0.5126768847698001,0.9997530134310493,1.0004949252283828
Theta_channel31,1.0001238006036435,0.0001237929409811385,0.2520517464427927,0.9999119634607202,1.0003356826254928
Gamma_channel0,1.0001236640825368,0.00012365643676452327,0.7302577748304337,0.999420882322245,1.0008269400312246
Theta_channel103,1.000120556466833,0.00012054920048612685,0.13394592744090508,0.9999629007790939,1.00027823701081
Delta_channel85,1.000119709849317,0.0001197026846647958,0.2216881783318546,0.9999277224188209,1.000311734141651
Theta_channel73,1.0001196402826624,0.00011963312633448579,0.17397051348295967,0.9999471689209003,1.0002921413923667
Beta_channel105,1.0001181688002767,0.00011816181889403576,0.4433608564968141,0.9998160472748633,1.0004203816199002
Beta_channel4,1.000118103669866,0.0001180966961767788,0.6616113180468948,0.9995893467277742,1.000647140310721
Delta_channel59,1.0001124916004365,0.00011248527373091714,0.3840844809105892,0.9998591997979103,1.0003658475687347
Delta_channel36,1.0001123240243464,0.00011231771647546227,0.317271531153019,0.9998922025772027,1.0003324939301652
Alpha_channel39,1.0001118756774587,0.00011186941984185926,0.332428668374512,0.999885655939999,1.0003381465961403
Beta_channel38,1.0001086808447104,0.00010867493937514829,0.8077405810791721,0.9992336611685566,1.000984466767502
